Index,Time,Wind Value(mph),Temp(°F),,,,,,Start time ,end time ,Max wind Speed 
106, 11:02:26,11.2,68.1,,,,,,,,
107, 11:02:28,9.6,68.1,,,,,,,,
108, 11:02:29,6.9,68.1,,,,,,,,
109, 11:02:30,6.4,68.3,,,,,,,,
110, 11:02:31,9.1,68.3,,,,,,,,
111, 11:02:32,10.5,68.1,,,,,,,,
112, 11:02:33,9.6,68.1,,,,,,,,
113, 11:02:34,8.5,68.1,,,,,,,,
114, 11:02:35,10.7,68.1,,,,,,,,
115, 11:02:36,10.5,68,,,,,,,,
116, 11:02:37,11.2,68,,,,,,,,
117, 11:02:38,10.7,68,,,,,,,,
118, 11:02:39,8.7,68,,,,,,,,
119, 11:02:40,8.2,68,,,,,,,,
120, 11:02:41,9.8,68,,,,,,,,
121, 11:02:42,9.8,68,,,,,,,,
122, 11:02:43,8.9,68,,,,,,,,
123, 11:02:44,6.9,68.1,,,,,,,,
124, 11:02:45,8.7,68.1,,,,,,,,
125, 11:02:46,7.8,68,,,,,,,,
126, 11:02:47,7.3,68,,,,,,,,
127, 11:02:48,8,67.8,,,,,,,,
128, 11:02:49,8.9,67.8,,,,,,,,
129, 11:02:50,10.5,67.8,,,,,,,,
130, 11:02:51,10.3,67.8,,,,,,,,
131, 11:02:52,9.6,67.6,,,,,,,,
132, 11:02:53,7.6,67.6,,,,,,,,
133, 11:02:54,9.4,67.8,,,,,,,,
134, 11:02:55,11.6,67.8,,,,,,,,
135, 11:02:56,8.5,67.6,,,,,,,,
136, 11:02:57,8.9,67.6,,,,,,,,
137, 11:02:58,8.7,67.6,,,,,,,,
138, 11:02:59,8.5,67.6,,,,,,,,
139, 11:03:00,10,67.6,,,,,,,,
140, 11:03:01,10.3,67.6,,,,,,,,
141, 11:03:02,6.4,67.6,,,,,,,,
142, 11:03:03,9.1,67.6,,,,,,,,
143, 11:03:04,11.2,67.4,,,,,,,,
144, 11:03:05,8.9,67.4,,,,,,,,
145, 11:03:06,8.2,67.6,,,,,,,,
146, 11:03:07,9.6,67.6,,,,,,,,
147, 11:03:08,9.6,67.4,,,,,,,,
148, 11:03:09,8.5,67.4,,,,,,,,
149, 11:03:10,8.2,67.6,,,,,,,,
150, 11:03:11,9.1,67.6,,,,,,,,
151, 11:03:12,11.2,67.4,,,,,,,,
152, 11:03:13,10.9,67.4,,,,,,,,
153, 11:03:14,10.7,67.4,,,,,,,,
154, 11:03:15,10.3,67.4,,,,,,,,
155, 11:03:16,9.8,67.4,,,,,,,,
156, 11:03:17,9.4,67.4,,,,,,,,
157, 11:03:18,9.4,67.4,,,,,,,,
158, 11:03:19,11.8,67.4,,,,,,,,
159, 11:03:20,10.9,67.4,,,,,,,,
160, 11:03:21,9.8,67.4,,,,,,,,
161, 11:03:22,9.8,67.4,,,,,,,,
162, 11:03:23,12.5,67.4,,,,,,,,
163, 11:03:24,11.4,67.2,,,,,,,,
164, 11:03:25,10.9,67.2,,,,,,,,
165, 11:03:26,10.3,67.2,,,,,,,,
166, 11:03:27,8.9,67.2,,,,,,,,
167, 11:03:28,9.1,67.4,,,,,,,,
168, 11:03:29,9.8,67.4,,,,,,,,
169, 11:03:30,10.3,67.2,,,,,,,,
170, 11:03:31,10.7,67.2,,,,,,,,
171, 11:03:32,10.5,67.2,,,,,,,,
172, 11:03:33,11.6,67.2,,,,,,,,
173, 11:03:34,9.4,67.2,,,,,,,,
174, 11:03:35,8.9,67.2,,,,,,,,
175, 11:03:36,9.8,67.1,,,,,,,,
176, 11:03:37,9.4,67.1,,,,,,,,
177, 11:03:38,7.6,67.2,,,,,,,,
178, 11:03:39,8.9,67.2,,,,,,,,
179, 11:03:40,13.2,67.1,,,,,,,,
180, 11:03:41,15.2,67.1,,,,,,,,
181, 11:03:42,13.8,66.7,,,,,,,,
182, 11:03:43,13.4,66.7,,,,,,,,
